#municipalities,population,cases
Palma Sola/SC,7321,1058
Palma/MG,6606,518
Palmares Paulista/SP,13691,1654
Palmares do Sul/RS,11342,1357
Palmares/PE,63745,4225
Palmas de Monte Alto/BA,21840,1026
Palmas/PR,52503,6866
Palmas/TO,313349,52592
Palmeira d'Oeste/SP,9173,979
Palmeira das Missões/RS,32967,4434
Palmeira do Piauí/PI,5029,235
Palmeira dos Índios/AL,73452,5307
Palmeira/PR,34109,4206
Palmeira/SC,2673,356
Palmeirais/PI,14633,319
Palmeirante/TO,6234,502
Palmeiras de Goiás/GO,29915,6510
Palmeiras do Tocantins/TO,6830,640
Palmeiras/BA,9123,313
Palmeirina/PE,7509,258
Palmeirândia/MA,19840,239
Palmeirópolis/TO,7694,1317
Palmelo/GO,2382,263
Palminópolis/GO,3578,611
Palmital/PR,12755,1387
Palmital/SP,22322,2893
Palmitinho/RS,7056,972
Palmitos/SC,16144,2354
Palmácia/CE,13553,986
Palmópolis/MG,5196,403
Palotina/PR,32389,6221
Panambi/RS,44583,7274
Panamá/GO,2590,281
Pancas/ES,23426,2589
Panelas/PE,26438,1115
Panorama/SP,15944,1881
Pantano Grande/RS,8995,1214
Papagaios/MG,15922,1978
Papanduva/SC,19521,1776
Paquetá/PI,3931,167
Paracambi/RJ,53093,3922
Paracatu/MG,94539,13116
Paracuru/CE,35526,5044
Paragominas/PA,115838,10728
Paraguaçu Paulista/SP,46180,5248
Paraguaçu/MG,21693,2225
Paraibano/MA,21571,1001
Paraibuna/SP,18302,1253
Paraipaba/CE,33232,2946
Paraisópolis/MG,21353,2068
Parambu/CE,31391,1594
Paramirim/BA,21777,667
Paramoti/CE,12276,1021
Paranacity/PR,11685,1014
Paranaguá/PR,157378,23599
Paranaiguara/GO,10221,558
Paranapanema/SP,20588,2141
Paranapoema/PR,3277,247
Paranapuã/SP,4112,539
Paranatama/PE,11608,525
Paranatinga/MT,23250,3523
Paranavaí/PR,89454,11704
Paranaíba/MS,42401,5163
Paranaíta/MT,11291,3111
Paranhos/MS,14576,618
Paraná/RN,4298,611
Paranã/TO,10426,686
Paraopeba/MG,24854,2431
Parapuã/SP,10934,1550
Parari/PB,1747,261
Paratinga/BA,32274,1646
Paraty/RJ,44175,3710
Parauapebas/PA,218787,54811
Parazinho/RN,5307,510
Paraí/RS,7793,1551
Paraíba do Sul/RJ,44741,5348
Paraíso das Águas/MS,5751,594
Paraíso do Norte/PR,14211,2234
Paraíso do Sul/RS,7635,603
Paraíso do Tocantins/TO,52521,8280
Paraíso/SC,3284,148
Paraíso/SP,6536,554
Paraú/RN,3732,680
Paraúna/GO,10988,1014
Pardinho/SP,6579,807
Pareci Novo/RS,3885,612
Parecis/RO,6319,390
Parelhas/RN,21611,2781
Pariconha/AL,10546,770
Parintins/AM,116439,10072
Paripiranga/BA,29124,1440
Paripueira/AL,13484,383
Pariquera-Açu/SP,19797,2461
Parisi/SP,2177,474
Parnaguá/PI,10846,288
Parnamirim/PE,22198,1317
Parnamirim/RN,272490,31387
Parnarama/MA,35108,1766
Parnaíba/PI,153863,16352
Parobé/RS,59419,7762
Pará de Minas/MG,95616,6944
Passa Quatro/MG,16439,1863
Passa Sete/RS,5790,286
Passa Tempo/MG,8031,1026
Passa Vinte/MG,2024,123
Passa e Fica/RN,13667,1157
Passabém/MG,1619,123
Passagem Franca do Piauí/PI,4331,254
Passagem Franca/MA,19253,1321
Passagem/PB,2453,155
Passagem/RN,3114,316
Passira/PE,28856,1490
Passo Fundo/RS,206103,37364
Passo de Camaragibe/AL,15270,816
Passo de Torres/SC,9269,1359
Passo do Sobrado/RS,6612,688
Passos Maia/SC,4072,348
Passos/MG,115970,11125
Pastos Bons/MA,19693,787
Patis/MG,6031,300
Pato Bragado/PR,5755,610
Pato Branco/PR,84779,13492
Patos de Minas/MG,154641,17590
Patos do Piauí/PI,6420,373
Patos/PB,108766,14037
Patrocínio Paulista/SP,14941,1132
Patrocínio do Muriaé/MG,5744,451
Patrocínio/MG,92116,9544
Patu/RN,12861,1793
Paty do Alferes/RJ,27942,3365
Pau Brasil/BA,9550,1003
Pau D'Arco do Piauí/PI,4084,354
Pau D'Arco/PA,5339,748
Pau D'Arco/TO,4885,425
Pau dos Ferros/RN,30802,5058
Paudalho/PE,57346,2882
Pauini/AM,19616,2767
Paula Cândido/MG,9597,531
Paula Freitas/PR,5942,632
Paulicéia/SP,7540,850
Paulino Neves/MA,16295,466
Paulista/PB,12411,1345
Paulista/PE,336919,11450
Paulistana/PI,20583,1244
Paulistas/MG,4794,248
Paulistânia/SP,1835,202
Paulo Afonso/BA,119213,8851
Paulo Bento/RS,2303,278
Paulo Frontin/PR,7418,408
Paulo Jacinto/AL,7556,426
Paulo Lopes/SC,7642,1340
Paulo Ramos/MA,21092,1173
Paulo de Faria/SP,8973,671
Paulínia/SP,114508,15667
Paverama/RS,8541,664
Pavussu/PI,3662,326
Pavão/MG,8390,560
Paço do Lumiar/MA,125265,1418
Peabiru/PR,14017,1665
Pederneiras/SP,47523,5184
Pedra Azul/MG,24333,1619
Pedra Bela/SP,6127,238
Pedra Bonita/MG,7157,424
Pedra Branca do Amapari/AP,17625,3493
Pedra Branca/CE,43359,1447
Pedra Branca/PB,3802,438
Pedra Dourada/MG,2559,215
Pedra Grande/RN,3163,566
Pedra Lavrada/PB,7954,357
Pedra Mole/SE,3309,279
Pedra Preta/MT,17547,1964
Pedra Preta/RN,2419,179
Pedra do Anta/MG,2960,168
Pedra do Indaiá/MG,3977,329
Pedra/PE,22716,1194
Pedralva/MG,11098,525
Pedranópolis/SP,2468,290
Pedras Altas/RS,1928,173
Pedras Grandes/SC,3931,804
Pedras de Fogo/PB,28607,2654
Pedras de Maria da Cruz/MG,12313,194
Pedregulho/SP,16876,364
Pedreira/SP,48992,4476
Pedreiras/MA,39153,4778
Pedrinhas Paulista/SP,3109,443
Pedrinhas/SE,9727,674
Pedrinópolis/MG,3651,521
Pedro Afonso/TO,13964,2206
Pedro Alexandre/BA,16698,550
Pedro Avelino/RN,6591,367
Pedro Canário/ES,26575,2388
Pedro Gomes/MS,7568,659
Pedro II/PI,38812,4407
Pedro Laurentino/PI,2551,68
Pedro Leopoldo/MG,65149,5780
Pedro Osório/RS,7683,852
Pedro Régis/PB,6139,357
Pedro Teixeira/MG,1804,25
Pedro Velho/RN,14881,928
Pedro de Toledo/SP,11507,449
Pedro do Rosário/MA,25560,113
Pedrão/BA,7438,335
Peixe-Boi/PA,8084,341
Peixe/TO,11996,1062
Peixoto de Azevedo/MT,35695,4185
Pejuçara/RS,3840,508
Pelotas/RS,343826,46525
Penaforte/CE,9207,811
Penalva/MA,38987,479
Pendências/RN,15411,1344
Penedo/AL,64005,4362
Penha/SC,34022,6134
Pentecoste/CE,38045,3972
Penápolis/SP,64098,7166
Pequeri/MG,3340,236
Pequi/MG,4457,355
Pequizeiro/TO,5546,638
Perdigão/MG,11994,1205
Perdizes/MG,16469,1823
Perdões/MG,21577,2274
Pereira Barreto/SP,25685,2737
Pereiras/SP,8875,1181
Pereiro/CE,16356,2321
Peri Mirim/MA,14371,303
Periquito/MG,6738,632
Peritiba/SC,2733,455
Peritoró/MA,23530,1235
Perobal/PR,6194,962
Perolândia/GO,3156,311
Peruíbe/SP,69697,7142
Pescador/MG,4261,502
Pescaria Brava/SC,10225,2226
Pesqueira/PE,68067,4962
Petrolina de Goiás/GO,10240,1617
Petrolina/PE,359372,31358
Petrolândia/PE,37246,1882
Petrolândia/SC,5873,893
Petrópolis/RJ,307144,21482
Peçanha/MG,17534,871
Piacatu/SP,6093,795
Piancó/PB,16147,2249
Piatã/BA,16854,1392
Piau/MG,2719,152
Piaçabuçu/AL,17868,949
Picada Café/RS,5780,499
Picos/PI,78627,8963
Picuí/PB,18737,2239
Piedade de Caratinga/MG,8832,747
Piedade de Ponte Nova/MG,4141,221
Piedade do Rio Grande/MG,4436,393
Piedade dos Gerais/MG,5034,83
Piedade/SP,55731,6170
Pilar de Goiás/GO,2135,337
Pilar do Sul/SP,29612,3033
Pilar/AL,35310,3960
Pilar/PB,12036,1326
Pilão Arcado/BA,35295,692
Pilões/PB,6518,255
Pilões/RN,3900,474
Pilõezinhos/PB,4937,718
Pimenta Bueno/RO,37098,6927
Pimenta/MG,8715,915
Pimenteiras do Oeste/RO,2127,443
Pimenteiras/PI,12150,1106
Pindamonhangaba/SP,171885,15144
Pindaré-Mirim/MA,33186,1827
Pindaí/BA,16308,904
Pindoba/AL,2903,145
Pindobaçu/BA,20048,1638
Pindorama do Tocantins/TO,4414,370
Pindorama/SP,17378,1948
Pindoretama/CE,20964,2374
Pingo-d'Água/MG,5029,433
Pinhais/PR,134788,19128
Pinhal Grande/RS,4309,236
Pinhal da Serra/RS,1896,263
Pinhal de São Bento/PR,2742,196
Pinhal/RS,2581,386
Pinhalzinho/SC,21103,3590
Pinhalzinho/SP,15564,1367
Pinhalão/PR,6323,869
Pinheiral/RJ,25563,3287
Pinheirinho do Vale/RS,4926,397
Pinheiro Machado/RS,12122,1367
Pinheiro Preto/SC,3635,565
Pinheiro/MA,84160,3227
Pinheiros/ES,27601,3613
Pinhão/PR,32722,2346
Pinhão/SE,6678,346
Pintadas/BA,10353,957
Pinto Bandeira/RS,3068,361
Pintópolis/MG,7540,186
Pio IX/PI,18492,1048
Pio XII/MA,21274,2315
Piquerobi/SP,3706,243
Piquet Carneiro/CE,17210,2127
Piquete/SP,13495,358
Piracaia/SP,27617,3659
Piracanjuba/GO,24543,3373
Piracema/MG,6386,117
Piracicaba/SP,410275,64182
Piracuruca/PI,28952,2963
Piraju/SP,29930,2001
Pirajuba/MG,6491,736
Pirajuí/SP,25939,2452
Pirambu/SE,9436,759
Piranga/MG,17641,611
Pirangi/SP,11524,1779
Piranguinho/MG,8683,1006
Piranguçu/MG,5504,506
Piranhas/AL,25324,1198
Piranhas/GO,10161,1637
Pirapemas/MA,18814,717
Pirapetinga/MG,10791,2498
Pirapora do Bom Jesus/SP,19453,1666
Pirapora/MG,56845,6599
Pirapozinho/SP,27974,3006
Pirapó/RS,2205,173
Piraquara/PR,116852,13754
Piraquê/TO,3038,245
Pirassununga/SP,77330,9108
Piratini/RS,20743,1148
Piratininga/SP,13890,1491
Piratuba/SC,3637,607
Piraí do Norte/BA,10050,934
Piraí do Sul/PR,25779,3350
Piraí/RJ,29802,4538
Piraúba/MG,10732,1639
Pirenópolis/GO,25218,3002
Pires Ferreira/CE,11052,1112
Pires do Rio/GO,31909,4093
Piripiri/PI,63829,10924
Piripá/BA,10253,997
Piritiba/BA,25162,758
Pirpirituba/PB,10590,828
Pitanga/PR,29686,3632
Pitangueiras/PR,3298,470
Pitangueiras/SP,40430,5463
Pitangui/MG,28433,2450
Pitimbu/PB,19478,1702
Pium/TO,7830,552
Piumhi/MG,35137,5709
Piçarra/PA,12976,987
Piên/PR,13015,1885
Piúma/ES,22388,3019
Placas/PA,32325,2044
Planaltina do Paraná/PR,4281,443
Planaltina/GO,91345,4792
Planaltino/BA,9415,626
Planalto Alegre/SC,2907,350
Planalto da Serra/MT,2637,386
Planalto/BA,26581,1890
Planalto/PR,13385,1267
Planalto/RS,9957,937
Planalto/SP,5370,650
Planura/MG,12445,1913
Platina/SP,3606,406
Plácido de Castro/AC,20147,1788
Pocinhos/PB,18848,1487
Poconé/MT,33386,3690
Pocrane/MG,8288,800
Pojuca/BA,40401,3993
Poloni/SP,6166,905
Pombal/PB,32803,5919
Pombos/PE,27204,1889
Pomerode/SC,34561,6019
Pompéia/SP,22326,1001
Pompéu/MG,32248,3596
Pongaí/SP,3385,358
Ponta Grossa/PR,358838,48900
Ponta Porã/MS,95320,9825
Ponta de Pedras/PA,32007,2771
Pontal do Araguaia/MT,6972,1126
Pontal do Paraná/PR,28529,3599
Pontal/SP,51717,5132
Pontalina/GO,17899,1756
Pontalinda/SP,4719,209
Ponte Alta do Bom Jesus/TO,4586,413
Ponte Alta do Norte/SC,3426,328
Ponte Alta do Tocantins/TO,8192,1017
Ponte Alta/SC,4619,603
Ponte Branca/MT,1525,174
Ponte Nova/MG,60003,6715
Ponte Preta/RS,1501,184
Ponte Serrada/SC,11674,1454
Pontes Gestal/SP,2576,440
Pontes e Lacerda/MT,46105,5955
Ponto Belo/ES,8016,708
Ponto Chique/MG,4305,341
Ponto Novo/BA,14729,689
Ponto dos Volantes/MG,12235,520
Pontão/RS,3898,348
Populina/SP,4136,345
Poranga/CE,12358,977
Porangaba/SP,10205,945
Porangatu/GO,45866,3262
Porciúncula/RJ,19068,2686
Porecatu/PR,12587,1735
Portalegre/RN,7944,755
Porteiras/CE,14920,1563
Porteirinha/MG,37823,2952
Porteirão/GO,3979,1854
Portel/PA,63831,2906
Portelândia/GO,4032,644
Porto Acre/AC,19141,1550
Porto Alegre do Norte/MT,12849,969
Porto Alegre do Piauí/PI,2728,184
Porto Alegre do Tocantins/TO,3200,197
Porto Alegre/RS,1492530,171059
Porto Amazonas/PR,4899,514
Porto Barreiro/PR,3133,309
Porto Belo/SC,22466,3061
Porto Calvo/AL,27331,1221
Porto Esperidião/MT,12176,1521
Porto Estrela/MT,2794,471
Porto Feliz/SP,53698,9287
Porto Ferreira/SP,56848,7675
Porto Firme/MG,11414,806
Porto Franco/MA,24294,1964
Porto Grande/AP,22927,2102
Porto Lucena/RS,4514,407
Porto Mauá/RS,2332,193
Porto Murtinho/MS,17460,1464
Porto Nacional/TO,53618,10056
Porto Real do Colégio/AL,20158,608
Porto Real/RJ,20254,2129
Porto Rico do Maranhão/MA,5936,245
Porto Rico/PR,2554,447
Porto Seguro/BA,152529,11693
Porto União/SC,35685,4746
Porto Velho/RO,548952,86827
Porto Vera Cruz/RS,1258,134
Porto Vitória/PR,4057,135
Porto Walter/AC,12497,551
Porto Xavier/RS,10144,1750
Porto da Folha/SE,28788,1688
Porto de Moz/PA,42456,1491
Porto de Pedras/AL,7618,386
Porto do Mangue/RN,6605,473
Porto dos Gaúchos/MT,5344,698
Porto/PI,12646,539
Portão/RS,38081,4243
Posse/GO,37924,2589
Potengi/CE,11165,687
Potim/SP,25603,2041
Potiraguá/BA,6623,528
Potirendaba/SP,17668,3132
Potiretama/CE,6455,823
Poté/MG,16675,1095
Pouso Alegre/MG,154293,24577
Pouso Alto/MG,5862,926
Pouso Novo/RS,1586,172
Pouso Redondo/SC,17965,1932
Poxoréu/MT,15936,2081
Poá/SP,119221,8977
Poço Branco/RN,15646,1006
Poço Dantas/PB,3877,250
Poço Fundo/MG,16900,1696
Poço Redondo/SE,35461,1103
Poço Verde/SE,24003,2192
Poço das Antas/RS,2105,280
Poço das Trincheiras/AL,14447,558
Poço de José de Moura/PB,4366,318
Poços de Caldas/MG,169838,14397
Poção de Pedras/MA,17321,2131
Poção/PE,11308,619
Poções/BA,46885,3941
Pracinha/SP,4327,130
Pracuúba/AP,5370,393
Prado Ferreira/PR,3806,106
Prado/BA,28214,2281
Prados/MG,9128,799
Pradópolis/SP,22239,1981
Praia Grande/SC,7305,1197
Praia Grande/SP,336454,27602
Praia Norte/TO,8563,358
Prainha/PA,29827,1839
Pranchita/PR,5035,644
Prata do Piauí/PI,3149,163
Prata/MG,28173,3322
Prata/PB,4265,352
Pratinha/MG,3658,299
Pratápolis/MG,8530,658
Pratânia/SP,5371,878
Presidente Alves/SP,4067,285
Presidente Bernardes/MG,5315,289
Presidente Bernardes/SP,12943,1319
Presidente Castello Branco/SC,1526,486
Presidente Castelo Branco/PR,5395,667
Presidente Dutra/BA,15180,1518
Presidente Dutra/MA,48264,2204
Presidente Epitácio/SP,44572,3300
Presidente Figueiredo/AM,38095,6269
Presidente Getúlio/SC,17973,1962
Presidente Juscelino/MA,12939,209
Presidente Juscelino/MG,3572,154
Presidente Jânio Quadros/BA,12028,719
Presidente Kennedy/ES,11741,2378
Presidente Kennedy/TO,3668,349
Presidente Kubitschek/MG,3000,216
Presidente Lucena/RS,2972,508
Presidente Médici/MA,7124,409
Presidente Médici/RO,18165,3709
Presidente Nereu/SC,2279,146
Presidente Olegário/MG,19680,1140
Presidente Prudente/SP,231953,31958
Presidente Sarney/MA,19217,217
Presidente Tancredo Neves/BA,28272,1829
Presidente Vargas/MA,11328,431
Presidente Venceslau/SP,39648,3750
Primavera de Rondônia/RO,2697,231
Primavera do Leste/MT,63876,14730
Primavera/PA,10889,873
Primavera/PE,15231,341
Primeira Cruz/MA,15545,82
Primeiro de Maio/PR,11138,647
Princesa Isabel/PB,23749,2154
Princesa/SC,2950,464
Professor Jamil/GO,3211,355
Progresso/RS,6235,689
Promissão/SP,41211,5566
Propriá/SE,29756,3679
Protásio Alves/RS,1929,126
Prudente de Morais/MG,10931,618
Prudentópolis/PR,52776,3654
Pugmil/TO,2746,278
Pureza/RN,9825,523
Putinga/RS,3861,636
Puxinanã/PB,13801,880
Pão de Açúcar/AL,24307,1233
Pé de Serra/BA,13535,1693
Pérola d'Oeste/PR,6232,517
Pérola/PR,11406,1498
Quadra/SP,3902,238
Quaraí/RS,22531,2365
Quartel Geral/MG,3603,176
Quarto Centenário/PR,4420,295
Quatiguá/PR,7504,1533
Quatipuru/PA,13794,985
Quatis/RJ,14562,1083
Quatro Barras/PR,24253,3689
Quatro Irmãos/RS,1860,99
Quatro Pontes/PR,4043,718
Quatá/SP,14309,1688
Quebrangulo/AL,11202,1146
Quedas do Iguaçu/PR,34707,3670
Queimada Nova/PI,9041,743
Queimadas/BA,25428,1591
Queimadas/PB,44388,4305
Queimados/RJ,152311,6899
Queiroz/SP,3513,489
Queluz/SP,13788,1023
Queluzito/MG,1948,115
Querência do Norte/PR,12257,1273
Querência/MT,18386,3577
Quevedos/RS,2793,252
Quijingue/BA,27672,499
Quilombo/SC,9773,1718
Quinta do Sol/PR,4444,609
Quintana/SP,6736,579
Quinze de Novembro/RS,3810,646
Quipapá/PE,26309,802
Quirinópolis/GO,51323,5276
Quissamã/RJ,25535,3478
Quitandinha/PR,19388,1715
Quiterianópolis/CE,21246,1698
Quixaba/PB,2009,112
Quixaba/PE,6796,557
Quixabeira/BA,8939,821
Quixadá/CE,88899,10101
Quixelô/CE,16116,2692
Quixeramobim/CE,82455,9915
Quixeré/CE,22432,3949
Rafael Fernandes/RN,5158,553
Rafael Godeiro/RN,3214,528
Rafael Jambeiro/BA,22643,1299
Rafard/SP,9126,1094
Ramilândia/PR,4500,475
Rancharia/SP,29743,4192
Rancho Alegre D'Oeste/PR,2602,294
Rancho Alegre/PR,3760,449
Rancho Queimado/SC,2897,529
Raposa/MA,31586,1629
Raposos/MG,16501,2021
Raul Soares/MG,23663,2572
Realeza/PR,16976,2472
Rebouças/PR,14991,1842
Recife/PE,1661017,156588
Recreio/MG,10522,795
Recursolândia/TO,4389,319
Redentora/RS,11782,990
Redenção da Serra/SP,3827,115
Redenção do Gurguéia/PI,8814,675
Redenção/CE,29238,5786
Redenção/PA,86326,14480
Reduto/MG,7247,435
Regeneração/PI,17979,1040
Regente Feijó/SP,20523,750
Reginópolis/SP,10047,329
Registro/SP,56463,6635
Relvado/RS,2068,186
Remanso/BA,41324,2349
Remígio/PB,19973,1431
Renascença/PR,6772,824
Reriutaba/CE,18279,3464
Resende Costa/MG,11578,676
Resende/RJ,133244,16576
Reserva do Cabaçal/MT,2754,287
Reserva do Iguaçu/PR,8127,668
Reserva/PR,26933,3362
Resplendor/MG,17396,2160
Ressaquinha/MG,4826,325
Restinga Sêca/RS,15702,1740
Restinga/SP,7762,724
Retirolândia/BA,14588,1643
Riachinho/MG,8132,649
Riachinho/TO,4723,461
Riacho Frio/PI,4306,137
Riacho da Cruz/RN,3648,311
Riacho das Almas/PE,20744,1278
Riacho de Santana/BA,35757,1834
Riacho de Santana/RN,4194,294
Riacho de Santo Antônio/PB,1999,181
Riacho dos Cavalos/PB,8555,889
Riacho dos Machados/MG,9471,581
Riachuelo/RN,8310,642
Riachuelo/SE,10354,728
Riachão das Neves/BA,22330,1492
Riachão do Bacamarte/PB,4562,502
Riachão do Dantas/SE,19813,1492
Riachão do Jacuípe/BA,33498,4632
Riachão do Poço/PB,4571,287
Riachão/MA,20288,2231
Riachão/PB,3650,211
Rialma/GO,10961,1854
Rianápolis/GO,4832,916
Ribamar Fiquene/MA,7859,496
Ribas do Rio Pardo/MS,25310,2961
Ribeira do Amparo/BA,14631,1059
Ribeira do Piauí/PI,4499,41
Ribeira do Pombal/BA,54097,5455
Ribeira/SP,3320,460
Ribeiro Gonçalves/PI,7408,874
Ribeirão Bonito/SP,13376,1073
Ribeirão Branco/SP,15984,2027
Ribeirão Cascalheira/MT,10450,1488
Ribeirão Claro/PR,10622,1283
Ribeirão Corrente/SP,4786,343
Ribeirão Grande/SP,7686,514
Ribeirão Pires/SP,125238,9129
Ribeirão Preto/SP,720116,84177
Ribeirão Vermelho/MG,4061,402
Ribeirão das Neves/MG,341415,19651
Ribeirão do Largo/BA,4896,458
Ribeirão do Pinhal/PR,12869,1645
Ribeirão do Sul/SP,4537,699
Ribeirão dos Índios/SP,2222,93
Ribeirão/PE,47813,500
Ribeirãozinho/MT,2439,226
Ribeirópolis/SE,18891,1787
Rifaina/SP,3651,469
Rincão/SP,10824,619
Rinópolis/SP,9940,661
Rio Acima/MG,10524,1017
Rio Azul/PR,15433,1392
Rio Bananal/ES,19398,3212
Rio Bom/PR,3162,374
Rio Bonito do Iguaçu/PR,13240,967
Rio Bonito/RJ,60930,11154
Rio Branco do Ivaí/PR,4121,368
Rio Branco do Sul/PR,32635,5693
Rio Branco/AC,419452,38120
Rio Branco/MT,5147,821
Rio Brilhante/MS,38844,4984
Rio Casca/MG,13384,1098
Rio Claro/RJ,18677,1596
Rio Claro/SP,209548,12752
Rio Crespo/RO,3843,615
Rio Doce/MG,2630,286
Rio Espera/MG,5332,352
Rio Formoso/PE,23719,1057
Rio Fortuna/SC,4630,834
Rio Grande da Serra/SP,52009,2207
Rio Grande do Piauí/PI,6434,436
Rio Grande/RS,212881,23196
Rio Largo/AL,75662,3639
Rio Manso/MG,5924,516
Rio Maria/PA,18208,2665
Rio Negrinho/SC,42684,5941
Rio Negro/MS,4758,547
Rio Negro/PR,34645,2238
Rio Novo do Sul/ES,11630,1820
Rio Novo/MG,8964,509
Rio Paranaíba/MG,12356,1895
Rio Pardo de Minas/MG,31171,1329
Rio Pardo/RS,38257,3396
Rio Piracicaba/MG,14325,2327
Rio Pomba/MG,18007,1095
Rio Preto da Eva/AM,34856,4879
Rio Preto/MG,5493,509
Rio Quente/GO,4728,667
Rio Real/BA,41209,3104
Rio Rufino/SC,2484,233
Rio Sono/TO,6498,321
Rio Tinto/PB,24258,2705
Rio Verde de Mato Grosso/MS,20025,2198
Rio Verde/GO,247259,32640
Rio Vermelho/MG,12635,501
Rio da Conceição/TO,2211,225
Rio das Antas/SC,6199,718
Rio das Flores/RJ,9401,534
Rio das Ostras/RJ,159529,17092
Rio das Pedras/SP,36233,3655
Rio de Contas/BA,12878,729
Rio de Janeiro/RJ,6775561,488298
Rio do Antônio/BA,15521,1040
Rio do Campo/SC,5864,677
Rio do Fogo/RN,10961,476
Rio do Oeste/SC,7552,908
Rio do Pires/BA,11672,323
Rio do Prado/MG,5117,402
Rio do Sul/SC,72931,9756
Rio dos Bois/TO,2879,471
Rio dos Cedros/SC,11937,997
Rio dos Índios/RS,2571,318
Riolândia/SP,12856,2010
Riozinho/RS,4698,522
Riqueza/SC,4525,645
Ritápolis/MG,4521,283
Riversul/SP,5364,548
Roca Sales/RS,11556,1136
Rochedo de Minas/MG,2335,238
Rochedo/MS,5120,428
Rodeio Bonito/RS,5868,740
Rodeio/SC,11647,1607
Rodeiro/MG,8333,963
Rodelas/BA,9548,330
Rodolfo Fernandes/RN,4457,408
Rodrigues Alves/AC,19767,1014
Rolador/RS,2270,240
Rolante/RS,21591,3605
Rolim de Moura/RO,55748,7242
Rolândia/PR,68165,9248
Romaria/MG,3507,399
Romelândia/SC,4584,433
Roncador/PR,9447,1189
Ronda Alta/RS,10633,1598
Rondinha/RS,5033,845
Rondolândia/MT,4069,314
Rondon do Pará/PA,53242,1766
Rondon/PR,9664,1139
Rondonópolis/MT,239613,37988
Roque Gonzales/RS,6750,717
Rorainópolis/RR,31387,3384
Rosana/SP,15929,1590
Roseira/SP,10888,1690
Rosário Oeste/MT,16999,1647
Rosário da Limeira/MG,4648,275
Rosário do Catete/SE,11158,884
Rosário do Ivaí/PR,4595,601
Rosário do Sul/RS,39210,4009
Rosário/MA,43243,616
Roteiro/AL,6634,363
Rubelita/MG,5609,194
Rubiataba/GO,20012,3159
Rubim/MG,10269,1221
Rubinéia/SP,3191,425
Rubiácea/SP,3195,234
Rurópolis/PA,52473,3975
Russas/CE,79550,10835
Ruy Barbosa/BA,30900,2605
Ruy Barbosa/RN,3584,113
Sabará/MG,137877,5874
Sabino/SP,5638,286
Sabinópolis/MG,15364,700
Saboeiro/CE,15757,1227
Sabáudia/PR,6954,1325
Sacramento/MG,26556,3639
Sagrada Família/RS,2601,503
Sagres/SP,2427,261
Sairé/PE,9600,587
Saldanha Marinho/RS,2596,461
Sales Oliveira/SP,12103,1835
Sales/SP,6481,536
Salesópolis/SP,17363,668
Salete/SC,7674,939
Salgadinho/PB,3975,184
Salgadinho/PE,11214,253
Salgado Filho/PR,3389,484
Salgado de São Félix/PB,12123,943
Salgado/SE,20051,1668
Salgueiro/PE,61561,7896
Salinas da Margarida/BA,16047,1506
Salinas/MG,41864,3916
Salinópolis/PA,41164,1195
Salitre/CE,16714,1153
Salmourão/SP,5372,361
Saloá/PE,15880,691
Saltinho/SC,3727,249
Saltinho/SP,8498,1133
Salto Grande/SP,9396,1215
Salto Veloso/SC,4792,712
Salto da Divisa/MG,7014,444
Salto de Pirapora/SP,46285,4385
Salto do Céu/MT,3226,271
Salto do Itararé/PR,4862,984
Salto do Jacuí/RS,12512,1221
Salto do Lontra/PR,14957,1567
Salto/SP,120779,14905
Salvador das Missões/RS,2734,411
Salvador do Sul/RS,7975,848
Salvador/BA,2900319,236526
Salvaterra/PA,24392,1470
Sambaíba/MA,5686,390
Sampaio/TO,4876,651
Sananduva/RS,16382,3065
Sanclerlândia/GO,7630,904
Sandolândia/TO,3371,430
Sandovalina/SP,4405,418
Sangão/SC,13128,1923
Sanharó/PE,27308,1515
Sant'Ana do Livramento/RS,75647,10006
Santa Adélia/SP,15639,1696
Santa Albertina/SP,6036,605
Santa Amélia/PR,3208,498
Santa Branca/SP,14925,1222
Santa Brígida/BA,13917,972
Santa Bárbara d'Oeste/SP,195278,23288
Santa Bárbara de Goiás/GO,6701,1050
Santa Bárbara do Leste/MG,8212,759
Santa Bárbara do Monte Verde/MG,3212,195
Santa Bárbara do Pará/PA,21811,1279
Santa Bárbara do Sul/RS,7813,1386
Santa Bárbara do Tugúrio/MG,4385,189
Santa Bárbara/BA,20971,1419
Santa Bárbara/MG,31873,3707
Santa Carmem/MT,4600,839
Santa Cecília do Pavão/PR,3253,472
Santa Cecília do Sul/RS,1630,571
Santa Cecília/PB,6526,484
Santa Cecília/SC,17004,1460
Santa Clara d'Oeste/SP,2111,269
Santa Clara do Sul/RS,6755,511
Santa Cruz Cabrália/BA,28058,2785
Santa Cruz da Baixa Verde/PE,12708,629
Santa Cruz da Conceição/SP,4584,676
Santa Cruz da Esperança/SP,2166,198
Santa Cruz da Vitória/BA,6241,651
Santa Cruz das Palmeiras/SP,35102,3923
Santa Cruz de Goiás/GO,2782,205
Santa Cruz de Minas/MG,8723,818
Santa Cruz de Monte Castelo/PR,7705,1041
Santa Cruz de Salinas/MG,4074,45
Santa Cruz do Arari/PA,10496,175
Santa Cruz do Capibaribe/PE,111812,9092
Santa Cruz do Escalvado/MG,4693,436
Santa Cruz do Piauí/PI,6254,840
Santa Cruz do Rio Pardo/SP,48207,6799
