#municipalities,population,cases
Cachoeira da Prata/MG,3580,226
Cachoeira de Goiás/GO,1336,134
Cachoeira de Minas/MG,11609,1116
Cachoeira de Pajeú/MG,9470,537
Cachoeira do Arari/PA,24355,592
Cachoeira do Piriá/PA,35307,960
Cachoeira do Sul/RS,81552,11103
Cachoeira dos Índios/PB,10364,935
Cachoeira/BA,33659,1760
Cachoeiras de Macacu/RJ,59652,3466
Cachoeirinha/PE,20618,648
Cachoeirinha/RS,132144,15855
Cachoeirinha/TO,2293,128
Cachoeiro de Itapemirim/ES,212172,30377
Cacimba de Areia/PB,3708,76
Cacimba de Dentro/PB,17169,1243
Cacimbas/PB,7225,268
Cacimbinhas/AL,10920,906
Cacique Doble/RS,5083,632
Cacoal/RO,86416,14980
Caconde/SP,19031,1453
Caculé/BA,23407,2707
Caetanos/BA,14671,782
Caetanópolis/MG,11869,1175
Caetité/BA,51184,4005
Caeté/MG,45364,2161
Caetés/PE,29065,1811
Cafarnaum/BA,18585,923
Cafeara/PR,2973,439
Cafelândia/PR,18783,2770
Cafelândia/SP,17917,830
Cafezal do Sul/PR,3975,458
Caiabu/SP,4195,319
Caiana/MG,5584,190
Caiapônia/GO,19304,1577
Caibaté/RS,4802,424
Caibi/SC,6112,714
Caicó/RN,68726,12420
Caieiras/SP,104044,9652
Cairu/BA,18666,1560
Caiuá/SP,6017,408
Caiçara do Norte/RN,6572,539
Caiçara do Rio do Vento/RN,3745,374
Caiçara/PB,7182,828
Caiçara/RS,4659,650
Cajamar/SP,79034,5433
Cajapió/MA,11255,179
Cajari/MA,19521,282
Cajati/SP,28441,4689
Cajazeiras do Piauí/PI,3586,81
Cajazeiras/PB,62576,10055
Cajazeirinhas/PB,3217,212
Cajobi/SP,10649,1099
Cajueiro da Praia/PI,7704,489
Cajueiro/AL,21397,642
Cajuri/MG,3961,430
Cajuru/SP,26613,1994
Caldas Brandão/PB,6077,616
Caldas Novas/GO,95183,12585
