cities,population,cases
Chorrochó(BA),11177,2
Cipó(BA),17300,3
Coaraci(BA),16993,41
Cocos(BA),18777,7
Conceição da Feira(BA),22581,39
Conceição do Almeida(BA),17247,12
Conceição do Coité(BA),66612,71
Conceição do Jacuípe(BA),33153,73
Conde(BA),25837,23
Condeúba(BA),17247,17
Contendas do Sincorá(BA),4066,0
Coração de Maria(BA),22605,19
Cordeiros(BA),8614,1
Coribe(BA),14194,0
Coronel João Sá(BA),15895,10
Correntina(BA),32137,4
Cotegipe(BA),13782,0
Cravolândia(BA),5349,4
Cristópolis(BA),13910,6
Crisópolis(BA),21103,7
Cruz das Almas(BA),63239,55
Curaçá(BA),34700,58
Cândido Sales(BA),25189,53
Cícero Dantas(BA),32515,4
Dias d'Ávila(BA),81089,166
Dom Basílio(BA),12199,3
Dom Macedo Costa(BA),4058,3
Dário Meira(BA),10710,16
Elísio Medrado(BA),8122,0
Encruzilhada(BA),17006,44
Entre Rios(BA),41780,51
Esplanada(BA),37237,7
Euclides da Cunha(BA),60585,12
Eunápolis(BA),113380,380
Feira da Mata(BA),5665,0
Feira de Santana(BA),614872,1180
Filadélfia(BA),16377,12
Firmino Alves(BA),5617,1
Floresta Azul(BA),10629,22
Formosa do Rio Preto(BA),25591,7
Fátima(BA),17890,2
Gandu(BA),32403,244
Gavião(BA),4463,0
Gentio do Ouro(BA),11233,2
Glória(BA),15221,6
Gongogi(BA),7128,16
Governador Mangabeira(BA),20722,9
Guajeru(BA),6937,2
Guanambi(BA),84481,69
Guaratinga(BA),20843,17
Heliópolis(BA),13031,0
Iaçu(BA),24305,35
Ibiassucê(BA),9224,0
Ibicaraí(BA),21689,57
Ibicoara(BA),19571,0
Ibicuí(BA),16198,11
Ibipeba(BA),18211,5
Ibipitanga(BA),14902,5
Ibiquera(BA),4044,0
Ibirapitanga(BA),23375,39
Ibirapuã(BA),8637,43
Ibirataia(BA),15312,41
Ibitiara(BA),16339,7
Ibititá(BA),17113,0
Ibotirama(BA),26927,6
Ichu(BA),6206,0
Igaporã(BA),15640,0
Igrapiúna(BA),13226,9
Iguaí(BA),26916,42
Ilhéus(BA),162327,934
Inhambupe(BA),39926,6
Ipecaetá(BA),14487,3
Ipiaú(BA),45873,511
Ipirá(BA),59595,34
Ipupiara(BA),9865,0
Irajuba(BA),7260,0
Iramaia(BA),8537,2
Iraquara(BA),25216,0
Irará(BA),29034,12
Irecê(BA),72967,44
Itabela(BA),30584,34
Itaberaba(BA),64489,101
Itabuna(BA),213223,1583
Itacaré(BA),28296,74
Itaeté(BA),16056,44
Itagi(BA),12351,8
Itagibá(BA),14579,39
Itagimirim(BA),6869,0
Itaguaçu da Bahia(BA),14429,0
Itaju do Colônia(BA),6682,0
Itajuípe(BA),20491,206
Itamaraju(BA),64486,264
Itamari(BA),8035,0
Itambé(BA),23049,1
Itanagra(BA),6441,8
Itanhém(BA),19405,18
Itaparica(BA),22228,49
Itapebi(BA),10259,30
Itapetinga(BA),76147,37
Itapicuru(BA),35576,53
Itapitanga(BA),10313,11
