cities,population,cases
Santa Rita do Araguaia(GO),8756,30
Santa Rita do Novo Destino(GO),3343,47
Santa Rosa de Goiás(GO),2319,15
Santa Tereza de Goiás(GO),3355,20
Santa Terezinha de Goiás(GO),8744,55
Santo Antônio da Barra(GO),4821,75
Santo Antônio de Goiás(GO),6283,322
Santo Antônio do Descoberto(GO),74744,973
Senador Canedo(GO),115371,3082
Serranópolis(GO),8544,89
Silvânia(GO),20695,160
Simolândia(GO),6856,60
São Domingos(GO),12949,2
São Francisco de Goiás(GO),6264,68
São João d'Aliança(GO),13740,142
São João da Paraúna(GO),1381,8
São Luiz do Norte(GO),5167,106
São Luís de Montes Belos(GO),33817,626
São Miguel do Araguaia(GO),21993,39
São Miguel do Passa Quatro(GO),4057,1
São Patrício(GO),2036,52
São Simão(GO),20645,349
Sítio d'Abadia(GO),2989,0
Taquaral de Goiás(GO),3529,40
Teresina de Goiás(GO),3458,13
Terezópolis de Goiás(GO),8043,113
Trindade(GO),127599,1710
Trombas(GO),3500,16
Três Ranchos(GO),2833,37
Turvelândia(GO),5281,76
Turvânia(GO),4598,143
Uirapuru(GO),2854,6
Uruana(GO),13843,98
Uruaçu(GO),40532,666
Urutaí(GO),3072,19
Valparaíso de Goiás(GO),168468,3873
Varjão(GO),3827,56
Vianópolis(GO),13863,145
Vicentinópolis(GO),8743,118
Vila Boa(GO),6171,45
Vila Propício(GO),5821,138
Água Fria de Goiás(GO),5735,62
Água Limpa(GO),1850,0
Águas Lindas de Goiás(GO),212440,2930
Abaré(BA),20086,64
Abaíra(BA),8739,15
Acajutiba(BA),15159,107
Adustina(BA),17040,85
Aiquara(BA),4446,155
Alagoinhas(BA),151596,4824
Alcobaça(BA),22470,430
Almadina(BA),5464,322
Amargosa(BA),37241,311
Amélia Rodrigues(BA),25102,340
América Dourada(BA),16094,92
Anagé(BA),22005,92
Andaraí(BA),13143,35
Andorinha(BA),14595,63
Angical(BA),13977,122
Anguera(BA),11221,56
Antas(BA),19291,184
Antônio Cardoso(BA),11683,46
Antônio Gonçalves(BA),11798,158
Aporá(BA),17731,175
Apuarema(BA),7330,277
Aracatu(BA),13135,29
Araci(BA),54379,1058
Aramari(BA),11397,113
Arataca(BA),11019,174
Aratuípe(BA),8825,109
Araçás(BA),12177,142
Aurelino Leal(BA),11531,375
Baianópolis(BA),13877,69
Baixa Grande(BA),20468,32
Banzaê(BA),13229,159
Barra(BA),53578,168
Barra da Estiva(BA),20598,9
Barra do Choça(BA),31603,370
Barra do Mendes(BA),13865,16
Barra do Rocha(BA),5714,84
Barreiras(BA),155439,3913
Barro Alto(BA),14931,38
Barro Preto(BA),5591,223
Barrocas(BA),15978,115
Belmonte(BA),23328,423
Belo Campo(BA),17211,42
Biritinga(BA),15979,73
Boa Nova(BA),12633,102
Boa Vista do Tupim(BA),18576,98
Bom Jesus da Lapa(BA),69148,283
Bom Jesus da Serra(BA),9880,91
Boninal(BA),14368,9
Bonito(BA),16764,42
Boquira(BA),21508,35
Botuporã(BA),10211,5
Brejolândia(BA),10557,5
Brejões(BA),14295,52
Brotas de Macaúbas(BA),10231,1
Brumado(BA),67195,978
Buerarema(BA),18349,448
Buritirama(BA),21174,206
Caatiba(BA),6758,225
Cabaceiras do Paraguaçu(BA),18807,62
Cachoeira(BA),33470,424
Caculé(BA),23170,75
Caetanos(BA),14542,49
Caetité(BA),50975,140
Cafarnaum(BA),18437,168
Cairu(BA),18176,178
Caldeirão Grande(BA),13327,122
Camacan(BA),31988,1313
Camamu(BA),35316,785
Camaçari(BA),299132,5734
Campo Alegre de Lourdes(BA),28798,108
Campo Formoso(BA),71206,1040
Canarana(BA),26176,91
Canavieiras(BA),31099,183
Candeal(BA),8258,77
Candeias(BA),87076,2091
Candiba(BA),14319,26
Cansanção(BA),34834,147
Canudos(BA),16668,119
Canápolis(BA),9711,23
Capela do Alto Alegre(BA),11637,161
Capim Grosso(BA),30662,926
Caravelas(BA),22016,294
Caraíbas(BA),8951,20
Cardeal da Silva(BA),9295,51
Carinhanha(BA),29018,98
Casa Nova(BA),71969,431
Castro Alves(BA),26264,367
Catolândia(BA),3577,33
Catu(BA),54704,1433
Caturama(BA),9329,1
Caém(BA),9213,108
Central(BA),17266,39
Chorrochó(BA),11177,30
Cipó(BA),17300,174
Coaraci(BA),16993,422
Cocos(BA),18777,66
Conceição da Feira(BA),22581,534
Conceição do Almeida(BA),17247,521
Conceição do Coité(BA),66612,1698
Conceição do Jacuípe(BA),33153,544
Conde(BA),25837,289
Condeúba(BA),17247,48
Contendas do Sincorá(BA),4066,35
Coração de Maria(BA),22605,255
Cordeiros(BA),8614,29
Coribe(BA),14194,83
Coronel João Sá(BA),15895,179
Correntina(BA),32137,273
Cotegipe(BA),13782,52
Cravolândia(BA),5349,11
Cristópolis(BA),13910,102
Crisópolis(BA),21103,185
Cruz das Almas(BA),63239,611
Curaçá(BA),34700,299
Cândido Sales(BA),25189,449
Cícero Dantas(BA),32515,450
Dias d'Ávila(BA),81089,1361
Dom Basílio(BA),12199,41
Dom Macedo Costa(BA),4058,77
Dário Meira(BA),10710,531
Elísio Medrado(BA),8122,60
Encruzilhada(BA),17006,131
Entre Rios(BA),41780,296
Esplanada(BA),37237,335
Euclides da Cunha(BA),60585,151
Eunápolis(BA),113380,2776
Feira da Mata(BA),5665,24
Feira de Santana(BA),614872,11908
Filadélfia(BA),16377,374
Firmino Alves(BA),5617,61
Floresta Azul(BA),10629,292
Formosa do Rio Preto(BA),25591,163
Fátima(BA),17890,258
Gandu(BA),32403,1379
Gavião(BA),4463,16
Gentio do Ouro(BA),11233,181
Glória(BA),15221,143
Gongogi(BA),7128,110
Governador Mangabeira(BA),20722,115
Guajeru(BA),6937,5
Guanambi(BA),84481,447
Guaratinga(BA),20843,368
Heliópolis(BA),13031,50
Iaçu(BA),24305,184
Ibiassucê(BA),9224,21
Ibicaraí(BA),21689,645
Ibicoara(BA),19571,12
Ibicuí(BA),16198,479
Ibipeba(BA),18211,15
Ibipitanga(BA),14902,15
Ibiquera(BA),4044,2
Ibirapitanga(BA),23375,618
Ibirapuã(BA),8637,116
Ibirataia(BA),15312,925
Ibitiara(BA),16339,11
Ibititá(BA),17113,175
Ibotirama(BA),26927,235
Ichu(BA),6206,20
Igaporã(BA),15640,21
Igrapiúna(BA),13226,239
Iguaí(BA),26916,459
Ilhéus(BA),162327,6096
Inhambupe(BA),39926,320
Ipecaetá(BA),14487,88
Ipiaú(BA),45873,1831
Ipirá(BA),59595,348
Ipupiara(BA),9865,1
Irajuba(BA),7260,44
Iramaia(BA),8537,14
Iraquara(BA),25216,205
Irará(BA),29034,373
Irecê(BA),72967,1288
Itabela(BA),30584,710
Itaberaba(BA),64489,2034
Itabuna(BA),213223,11063
Itacaré(BA),28296,358
Itaeté(BA),16056,68
Itagi(BA),12351,302
Itagibá(BA),14579,348
Itagimirim(BA),6869,89
Itaguaçu da Bahia(BA),14429,26
Itaju do Colônia(BA),6682,143
Itajuípe(BA),20491,879
Itamaraju(BA),64486,1986
Itamari(BA),8035,188
