#city,population,cases
Mutunópolis(GO),3778,272
Nazário(GO),9142,693
Nerópolis(GO),29850,1362
Niquelândia(GO),46388,2688
Nova América(GO),2352,216
Nova Aurora(GO),2210,150
Nova Crixás(GO),12869,970
Nova Glória(GO),8164,700
Nova Iguaçu de Goiás(GO),2929,157
Nova Roma(GO),3264,128
Nova Veneza(GO),9853,860
Novo Brasil(GO),2913,303
Novo Gama(GO),115711,3618
Novo Planalto(GO),4495,285
Orizona(GO),15615,544
Ouro Verde de Goiás(GO),3759,241
Ouvidor(GO),6667,608
Padre Bernardo(GO),33835,1405
Palestina de Goiás(GO),3464,148
Palmeiras de Goiás(GO),28858,4921
Palmelo(GO),2381,197
Palminópolis(GO),3585,350
Panamá(GO),2615,165
Paranaiguara(GO),10057,314
Paraúna(GO),10988,552
Perolândia(GO),3129,118
Petrolina de Goiás(GO),10281,756
Pilar de Goiás(GO),2253,267
Piracanjuba(GO),24524,1680
Piranhas(GO),10385,854
Pirenópolis(GO),24908,1290
Pires do Rio(GO),31458,2247
Planaltina(GO),89918,3199
Pontalina(GO),17819,1369
Porangatu(GO),45394,1977
Porteirão(GO),3881,1450
Portelândia(GO),4011,479
Posse(GO),36900,1536
Professor Jamil(GO),3223,209
Quirinópolis(GO),50065,2653
Rialma(GO),10918,1242
Rianápolis(GO),4801,560
Rio Quente(GO),4493,350
Rio Verde(GO),235647,22126
Rubiataba(GO),19882,2140
Sanclerlândia(GO),7637,513
Santa Bárbara de Goiás(GO),6560,634
Santa Cruz de Goiás(GO),2855,122
Santa Fé de Goiás(GO),5459,601
Santa Helena de Goiás(GO),38648,4201
Santa Isabel(GO),3809,396
Santa Rita do Araguaia(GO),8756,328
Santa Rita do Novo Destino(GO),3343,158
Santa Rosa de Goiás(GO),2319,199
Santa Tereza de Goiás(GO),3355,139
Santa Terezinha de Goiás(GO),8744,665
Santo Antônio da Barra(GO),4821,379
Santo Antônio de Goiás(GO),6283,707
Santo Antônio do Descoberto(GO),74744,2320
Senador Canedo(GO),115371,12694
Serranópolis(GO),8544,631
Silvânia(GO),20695,1235
Simolândia(GO),6856,319
São Domingos(GO),12949,151
São Francisco de Goiás(GO),6264,340
São João d'Aliança(GO),13740,574
