City,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Rennes,"23,800","24,300","24,900","25,700","27,400","28,700","29,500","30,200","30,400","29,400","29,800","30,900","31,100","31,200","32,100","32,600","33,100","34,300","34,900","35,600","34,700","36,700"
Amiens,"19,700","21,000","21,400","22,100","22,400","22,800","23,200","24,400","25,100","24,300","24,700","25,300","25,800","26,100","25,900","26,600","25,900","26,900","27,600","28,200","27,300","28,800"
Rouen,"23,700","24,200","24,600","25,400","26,400","27,100","28,000","29,600","30,000","28,700","29,700","30,500","30,900","31,200","31,300","31,900","31,400","31,700","31,700","32,200","30,200","33,200"
Nancy,"19,700","20,900","21,200","21,800","22,800","23,100","24,300","25,000","25,800","25,500","25,200","25,400","25,500","26,100","26,300","25,800","26,000","26,400","26,900","27,500","26,900","28,200"
Reims,"26,300","26,000","26,500","26,600","29,200","29,500","30,300","32,300","32,300","29,900","31,000","32,800","32,500","32,600","32,200","32,700","32,700","34,000","34,900","35,200","33,200","35,100"
OrlÇans,"25,300","26,300","26,700","27,800","28,800","29,200","30,200","31,200","30,300","29,200","30,300","30,800","30,900","30,900","30,700","31,000","31,200","31,700","32,200","32,800","31,500","33,700"
Dijon,"26,100","26,300","25,800","26,200","27,600","28,400","29,400","31,000","31,500","30,400","30,800","31,600","31,700","32,200","32,500","32,800","32,900","34,000","35,200","35,400","34,100","36,800"
Poitiers,"20,000","20,500","21,000","21,800","22,600","23,100","23,600","24,700","25,500","25,200","25,200","26,200","27,100","27,300","27,700","27,600","27,600","28,400","28,700","29,400","27,500","29,000"
Clermont-Ferrand,"22,100","22,400","23,000","23,700","24,600","25,300","26,100","27,300","26,800","26,300","26,500","28,200","28,300","28,800","29,100","29,700","30,100","31,900","33,000","34,000","32,000","33,400"
Caen,"21,400","21,700","22,700","23,400","24,300","24,800","25,900","26,800","27,700","27,000","28,500","29,500","28,500","28,500","28,600","29,000","29,400","28,600","29,300","29,800","28,500","30,000"
Limoges,"21,100","21,600","22,200","22,500","22,600","23,300","23,900","24,600","24,900","24,200","23,600","24,400","24,300","25,300","25,700","26,100","25,800","26,800","27,200","29,000","28,000","28,400"
Besanáon,"23,100","24,100","24,400","24,800","25,400","25,700","26,100","26,900","26,800","25,700","26,200","27,100","26,000","26,300","26,700","27,300","27,800","28,400","28,900","29,400","27,900","29,200"
Grenoble,"24,400","24,900","25,100","25,500","26,700","27,200","28,600","29,500","29,900","28,800","29,800","30,800","30,600","30,500","30,900","30,900","31,700","32,200","33,000","33,800","32,600","35,000"
Fort-de-France,"13,900","14,700","15,100","15,900","16,700","17,600","18,400","19,100","19,900","19,300","20,100","20,800","21,300","21,500","22,200","22,900","23,000","23,600","24,200","24,300","24,300","25,400"
Tours,"21,300","22,100","22,600","23,000","24,000","24,600","25,700","26,700","26,700","26,300","26,700","27,300","27,500","27,900","28,300","29,100","29,200","29,500","30,400","31,000","29,600","32,500"
Angers,"19,900","21,000","21,400","21,900","22,600","23,100","23,600","24,800","25,400","24,400","24,800","25,900","25,800","26,100","26,200","26,600","26,800","27,400","27,600","28,600","27,800","29,900"
Brest,"20,200","21,000","21,400","21,900","23,300","23,800","24,900","25,700","24,800","23,900","24,100","25,100","25,200","25,700","26,000","26,500","26,900","27,500","27,700","28,600","27,900","30,000"
Le Mans,"20,000","20,300","21,100","21,400","22,300","22,600","23,000","24,100","25,100","24,500","24,400","25,000","25,300","25,400","25,900","25,700","26,000","26,300","26,400","26,900","25,700","27,400"
Mulhouse,"22,700","23,400","23,900","23,600","23,900","24,400","25,200","26,500","26,700","25,800","25,300","26,300","26,200","26,500","26,800","27,200","27,400","28,400","29,300","29,700","27,900","29,800"
Perpignan,"17,000","17,900","18,300","19,300","19,900","20,200","21,200","22,100","22,300","21,600","21,600","22,500","22,200","22,100","22,100","22,600","22,600","23,200","23,500","24,100","23,300","24,900"
Nimes,"18,100","18,600","19,100","19,500","20,200","20,500","21,500","22,200","22,500","21,800","21,800","22,400","22,400","22,200","22,500","22,900","23,000","23,700","24,000","24,900","24,200","26,100"
Pau,"21,400","22,400","24,000","24,200","24,600","25,800","27,300","28,400","28,900","27,900","28,700","29,600","29,400","30,000","30,000","30,300","30,300","30,100","30,400","31,700","29,800","32,100"
Annecy (FR) / Genäve (CH),"24,400","25,300","25,100","25,800","27,100","27,300","28,300","29,200","28,300","26,400","27,100","28,700","28,100","28,300","28,400","29,000","29,500","30,300","30,900","31,100","29,000","29,700"
Marseille,"21,700","22,600","22,900","23,600","24,900","25,900","27,000","27,700","28,200","27,800","29,300","29,500","30,500","30,000","30,300","30,800","30,800","31,600","32,300","33,000","31,900","35,900"
Nice,"24,400","25,700","26,100","26,900","28,100","29,000","30,300","31,300","31,000","30,300","31,600","32,300","32,800","32,800","32,800","33,600","34,700","35,300","35,800","36,500","32,500","36,000"
Les Abymes,"14,100","15,000","15,600","16,600","17,300","18,400","19,400","20,000","21,000","19,900","20,700","21,400","21,800","22,000","22,500","23,100","23,700","22,100","22,700","23,500","22,200","22,900"
Zagreb,"6,800","7,900","8,800","9,600","10,500","11,800","12,900","14,000","15,400","14,700","15,400","15,200","14,900","14,700","14,700","15,400","16,200","17,400","18,700","20,000","18,600",:
Split,"4,100","4,700","5,100","5,600","6,400","6,800","7,500","8,600","9,100","8,500","8,400","8,200","8,000","8,000","8,000","8,400","9,000","9,500","10,200","11,100","9,700",:
Roma,"30,600","32,600","34,100","34,700","36,500","37,300","38,400","39,700","39,600","38,700","38,600","39,100","37,500","36,600","36,500","36,300","37,900","38,300","38,800","39,400","36,200",:
Milano,"33,000","34,800","36,400","37,500","38,400","39,600","40,200","41,700","45,200","43,500","45,800","46,200","45,100","44,100","44,800","45,600","47,200","48,100","49,300","49,500","47,000",:
Napoli,"14,900","15,900","16,500","16,900","17,400","17,800","18,300","18,800","19,600","19,000","18,700","18,600","18,400","17,900","18,100","18,500","19,000","19,500","19,700","20,300","18,700",:
Torino,"25,300","26,100","26,800","27,300","28,000","28,800","29,800","30,500","31,000","28,600","29,700","30,600","29,300","29,600","29,600","30,300","31,400","32,600","33,700","33,600","30,800",:
Palermo,"13,100","14,700","15,100","15,600","16,200","17,100","17,800","18,200","19,200","18,900","18,800","18,400","18,100","18,000","17,900","18,400","18,400","18,900","19,100","19,400","18,400",:
Genova,"24,400","26,200","26,700","27,800","28,800","29,400","30,400","31,900","33,100","32,100","32,100","32,000","31,600","31,200","32,600","33,400","34,300","35,400","35,600","36,800","32,400",:
Firenze,"29,100","30,500","30,900","31,500","32,100","32,600","34,000","34,900","35,600","34,400","34,500","35,200","35,200","34,800","35,700","36,100","37,000","37,600","38,900","42,900","34,700",:
Bari,"16,900","17,800","18,000","18,100","18,300","18,400","19,400","20,100","20,300","19,500","19,900","20,200","20,200","19,800","19,700","20,500","21,100","21,400","22,200","22,700","21,400",:
Bologna,"30,400","31,000","31,700","32,200","33,000","33,700","35,700","36,200","35,900","34,300","36,300","37,900","36,900","37,100","37,700","38,500","39,200","40,300","41,400","42,300","39,200",:
Catania,"14,800","15,400","16,000","16,600","16,800","17,600","18,000","18,300","18,900","18,200","18,100","18,000","17,900","17,700","17,900","17,800","18,100","18,500","18,800","19,400","18,000",:
