ClusterID	AllPeople	d_Work	AgricultHF	Manufact	Construct	HotelRest	FinanceInt	RealEstate	Admin	Education	Income	NetIncome	NIncBH	NIncAH	Households	CarsVans	Dwellings	OccuDwell	UnDwell	UnSecDwell	Employed	Managers	Profess	technical	Admin2	SkillTrd	Service	Sales	plant	Basic	Coach	Train	Patents	Morphology
175	3971	13.62	5	307	110	73	66	123	129	184	689620	588700	555060	504600	1682	1746	1718	1682	36	0	1674	208	179	229	243	186	118	142	156	213	0	0	0	1
176	23453	56.08	95	1677	943	364	414	2727	805	737	6672920	5279820	4739320	4008890	9773	12544	9984	9771	213	30	13276	2124	1516	1961	1873	1250	801	875	1082	1794	0	1	15	4
177	92211	137.59	153	6416	2211	1925	1542	3427	2410	2246	14453410	12777330	11902930	10272780	38635	33922	40275	38636	1639	60	36053	3942	3158	4567	4790	3991	2591	3401	3802	5811	3	1	63	13
178	18118	35.83	26	1524	486	279	104	438	320	297	2617820	2304080	2257620	1984420	7982	6137	8285	7982	303	3	5643	391	267	530	577	776	413	556	993	1140	1	0	11	3
179	6384	10.55	10	817	142	102	105	165	195	179	1104240	950160	821760	719040	2568	2726	2669	2568	101	4	2755	265	199	340	358	328	182	224	450	409	0	0	1	1
180	5944	13.4	12	475	201	88	79	166	174	194	956280	833680	735600	686560	2452	2301	2612	2452	160	3	2250	231	197	298	321	289	155	177	270	312	0	1	0	1
181	5250	17.24	45	564	220	128	89	388	88	171	1174680	948780	881010	768060	2259	2976	2362	2259	103	22	2627	513	271	303	300	396	186	154	217	287	0	0	9	1000
182	7502	70.87	38	547	205	203	129	422	241	272	1607420	1324230	1207110	1064850	3241	3875	3376	3243	133	12	3561	587	480	477	451	336	217	235	275	503	1	1	28	4
183	16313	81.13	109	1010	618	181	1203	1001	443	530	4627150	3551910	2946290	2639930	6891	9229	7065	6890	175	9	7850	1325	706	1162	1574	874	496	577	481	655	0	1	8	4
184	433395	1063.04	1463	26075	18371	7011	22813	23568	9688	12027	111800870	87907260	72826310	64264180	183447	213397	189199	183456	5743	350	198262	29893	16256	25399	34349	24967	12904	16232	16174	22088	12	16	342	2002054
185	7057	31.75	23	382	235	110	223	642	184	281	2446200	1966950	1475150	1392350	2735	4108	2777	2736	41	0	3568	809	516	602	493	292	217	199	148	292	0	0	1	2
186	27554	102.66	88	1321	851	417	2119	2168	620	1197	8803230	6863110	5780510	5314200	12083	14657	12568	12083	485	45	13278	2430	2105	2438	2172	1041	795	731	534	1032	2	1	0	6
187	78235	166.13	297	6751	2211	1452	1247	7187	1395	2616	19540250	16056840	13864530	11830600	29677	39958	30339	29678	661	43	38647	6565	4661	5492	5331	4327	2418	2892	3027	3934	1	1	136	13
188	23406	42.41	60	1338	720	268	2200	1917	527	943	7651100	5927960	4786500	4353890	9573	13350	9767	9574	193	12	11745	2387	1711	2011	2217	873	612	665	509	760	2	1	0	2
189	4497	18.72	17	224	104	62	120	463	94	171	1622880	1236480	1139880	966000	1932	2661	1997	1932	65	3	2075	514	318	346	291	147	136	103	80	140	0	1	38	1
190	6265	13.82	10	696	213	60	33	113	101	98	863100	789120	690480	591840	2466	1783	2625	2466	159	3	1974	111	70	119	188	286	136	120	495	449	0	1	2	1
191	4506	15.91	28	237	102	59	104	459	92	176	1410360	1139880	1043280	869400	1932	2326	1991	1930	61	7	2134	465	341	322	254	161	131	144	105	211	0	1	7	1
192	23600	66.74	42	1588	677	358	294	716	706	688	3814250	3315690	3233710	2870930	10441	9244	10987	10441	546	12	8764	844	849	1071	1185	1066	698	823	1013	1215	1	1	11	5
193	16629	45.7	102	1247	727	255	1155	1261	389	645	5269780	3976560	3062060	2715640	6312	9754	6397	6312	85	5	9173	1803	957	1390	1622	939	506	676	535	745	0	1	0	2
194	31289	83.92	87	2633	1096	572	494	3201	881	1820	9147990	7457340	6321950	5579500	12762	16531	12976	12764	212	34	16879	2599	2674	2339	2395	1663	982	1221	1192	1814	0	0	52	7
195	34437	81.07	88	3649	913	551	428	1125	1015	927	5682710	4949540	4499430	3962770	14118	14518	14420	14116	304	6	14278	1520	1159	1649	1764	1762	1002	1316	1927	2179	2	0	15	8
196	8266	37.8	26	656	198	162	126	251	279	297	1416420	1206960	1152030	1023850	3491	3758	3606	3491	115	3	3379	348	331	408	477	378	295	313	379	450	1	0	5	3
197	28943	69.1	43	2809	770	411	355	811	842	762	4463600	3878530	3527670	3133050	11643	11632	12023	11643	380	3	10777	1129	840	1185	1315	1414	726	821	1538	1809	0	3	13	6
198	198952	474.08	629	10450	4909	4237	3073	6957	6604	7299	34160110	29317250	27127250	24316310	83722	86210	88410	83724	4686	582	78586	9132	8890	10749	11009	8959	5530	7721	6309	10287	1	3	154	5002023
199	1815	10.26	6	175	42	31	15	59	42	53	289800	264960	256680	215280	828	665	860	829	31	0	669	65	47	72	59	88	48	47	101	142	0	0	1	1
200	10508	25.19	44	629	537	202	369	574	243	303	2797680	2199220	1821060	1549400	4406	5596	4480	4405	75	5	5220	712	282	660	858	734	404	360	522	688	1	0	1	2
201	7333	12.29	28	339	294	136	256	471	174	269	2099670	1612790	1308490	1156340	3043	3861	3079	3043	36	0	3453	565	311	475	611	409	270	245	204	363	0	0	16	1
202	39342	126.45	117	3055	797	675	351	817	1189	1022	6083350	5364470	5165010	4661060	17175	15726	18202	17180	1022	26	14119	1380	1214	1678	1754	1809	1192	1345	1720	2027	1	1	45	10
203	11895	35.79	87	950	413	275	198	873	234	394	2505720	2037510	1863960	1569300	4911	5897	5033	4912	121	7	6025	862	555	685	752	741	442	556	569	863	0	0	18	3
204	4683	14.22	13	299	169	104	117	394	97	180	1466250	1153450	918850	860200	1955	2704	2004	1955	49	3	2305	494	282	360	304	235	163	158	121	188	0	0	2	1
205	1923	12.59	5	164	59	37	15	41	67	43	300300	257400	257400	223080	858	841	920	859	61	3	744	79	45	81	90	104	76	53	96	120	0	0	2	1
206	4465	11.26	23	251	253	72	147	278	112	102	1213370	905500	760620	651960	1811	2369	1840	1811	29	0	2301	307	111	262	385	355	149	205	226	301	0	0	4	1
207	1527	15.04	4	83	55	43	7	39	30	34	228470	198990	206360	169510	737	551	808	735	73	9	545	55	34	62	49	88	56	69	44	88	1	0	0	1000
208	15813	71.91	99	1303	477	219	317	1444	236	674	4421410	3567890	3028390	2690020	6240	8604	6404	6242	162	9	7912	1491	1030	1209	1022	793	504	526	593	744	0	0	19	5
209	4424	23.3	36	460	161	86	60	233	86	187	841400	701200	654400	542200	1870	2129	1897	1867	30	4	2145	271	215	294	224	312	166	168	208	287	0	0	13	2
