NOME DO MUNICÍPIO,COD. MUNIC,POPULAÇÃO ESTIMADA
Jaguaquara/BA,2917607,54913.00
Araci/BA,2902104,54903.00
São Francisco do Sul/SC,4216206,54751.00
Acopiara/CE,2300309,54687.00
Boa Viagem/CE,2302404,54680.00
Vigia/PA,1508209,54650.00
Canoinhas/SC,4203808,54558.00
Capitão Poço/PA,1502301,54545.00
Campo Belo/MG,3111200,54338.00
Beberibe/CE,2302206,54315.00
Vargem Grande Paulista/SP,3556453,54315.00
Barra/BA,2902708,54225.00
Videira/SC,4219309,54145.00
Ribeira do Pombal/BA,2926608,54097.00
Marechal Cândido Rondon/PR,4114609,54031.00
Porto Feliz/SP,3540606,53698.00
Santo Estêvão/BA,2928802,53666.00
Inhumas/GO,5210000,53655.00
Porto Nacional/TO,1718204,53618.00
Tramandaí/RS,4321600,53507.00
Itapajé/CE,2306306,53448.00
Itupiranga/PA,1503705,53439.00
Rondon do Pará/PA,1506187,53242.00
Lagoa da Prata/MG,3137205,53236.00
Paracambi/RJ,3303609,53093.00
Itabirito/MG,3131901,52996.00
Sapé/PB,2515302,52977.00
Tobias Barreto/SE,2807402,52861.00
Viana/MA,2112803,52852.00
Marechal Deodoro/AL,2704708,52848.00
Prudentópolis/PR,4120606,52776.00
São Joaquim da Barra/SP,3549409,52737.00
Campos do Jordão/SP,3509700,52713.00
Leopoldina/MG,3138401,52690.00
Timbaúba/PE,2615300,52587.00
Paraíso do Tocantins/TO,1716109,52521.00
Palmas/PR,4117602,52503.00
Delmiro Gouveia/AL,2702405,52501.00
Óbidos/PA,1505106,52473.00
Rurópolis/PA,1506195,52473.00
Laranjal do Jari/AP,1600279,52302.00
Xanxerê/SC,4219507,52290.00
Guaxupé/MG,3128709,52234.00
Zé Doca/MA,2114007,52190.00
Jaraguá/GO,5211800,52160.00
Alta Floresta/MT,5100250,52105.00
Rio Grande da Serra/SP,3544103,52009.00
Pontal/SP,3540200,51717.00
Brejo da Madre de Deus/PE,2602605,51696.00
Jaru/RO,1100114,51469.00
Bom Despacho/MG,3107406,51436.00
Quirinópolis/GO,5218508,51323.00
Estância Velha/RS,4307609,51292.00
Caetité/BA,2905206,51184.00
Cabreúva/SP,3508405,51130.00
Monte Alto/SP,3531308,51039.00
Louveira/SP,3527306,51007.00
Lago da Pedra/MA,2105708,50959.00
Tucano/BA,2931905,50903.00
Itararé/SP,3523206,50778.00
Nova Venécia/ES,3203908,50751.00
Cerquilho/SP,3511508,50631.00
Bocaiúva/MG,3107307,50521.00
Macaúbas/BA,2919801,50481.00
Brejo Santo/CE,2302503,50195.00
Coelho Neto/MA,2103406,49804.00
Iranduba/AM,1301852,49718.00
Baião/PA,1501204,49454.00
São Gonçalo do Amarante/CE,2312403,49306.00
Santiago/RS,4317400,49298.00
